No;nama;npsn;bentuk_pendidikan;alamat_jalan;desa_kelurahan;kecamatan;kabupaten;provinsi;status_sekolah
13547;PKBM HUTUO LESTARI;P9934358;PKBM;JALAN RUNI S KATILI LINGKUNGAN III BLOK C2 NO. 6 KEL. HUTUO KEC. LIMBOTO KAB. GO;Hutuo;Kec. Limboto;Kab. Gorontalo;Prov. Gorontalo;SWASTA
13548;PKBM AL IKHLAS;P9963030;PKBM;Tilihua;TILIHUWA;Kec. Limboto;Kab. Gorontalo;Prov. Gorontalo;SWASTA
13549;PKBM HARAPAN JAYA;P9926403;PKBM;DESA HUTABOHU;Hutabohu;Kec. Limboto Barat;Kab. Gorontalo;Prov. Gorontalo;SWASTA
13550;PKBM Karya Indah;P9963050;PKBM;Yesonegoro;Yoosonegoro;Kec. Limboto Barat;Kab. Gorontalo;Prov. Gorontalo;SWASTA
13551;PKBM SERIMPI;P9959837;PKBM;Jl. Trans Sulawesi;Pulubala;Kec. Pulubala;Kab. Gorontalo;Prov. Gorontalo;SWASTA
13552;PKBM SINAR MULIA;P9984320;PKBM;PKBM SINAR MULIA;Puncak;Kec. Pulubala;Kab. Gorontalo;Prov. Gorontalo;SWASTA
13553;PKBM AL HUJRAH;P9970256;PKBM;Desa Tridharma Kecamatan Pulubala;Tridarma;Kec. Pulubala;Kab. Gorontalo;Prov. Gorontalo;SWASTA
13554;PKBM KARYA DHARMA;P9980020;PKBM;Desa Tridarma;Tridarma;Kec. Pulubala;Kab. Gorontalo;Prov. Gorontalo;SWASTA
13555;PKBM Huyula;P9969992;PKBM;Desa Limehe Barat Kec. Tabongo;Limehe Barat;Kec. Tabongo;Kab. Gorontalo;Prov. Gorontalo;NEGERI
13556;PKBM JABAL RAHMA;P2962852;PKBM;Jl. TEKNIK NO.151;Bulila;Kec. Telaga;Kab. Gorontalo;Prov. Gorontalo;SWASTA
13557;PKBM AN NUR;P2962859;PKBM;JL. MOH.ABD. WAHAB;Hulawa;Kec. Telaga;Kab. Gorontalo;Prov. Gorontalo;SWASTA
13558;PKBM NANDA;P2965658;PKBM;MONGOLATO;Mongolato;Kec. Telaga;Kab. Gorontalo;Prov. Gorontalo;SWASTA
13559;PKBM AL AZIS;P9970340;PKBM;Desa Pentadio Barat;Pentadio Barat;Kec. Telaga Biru;Kab. Gorontalo;Prov. Gorontalo;SWASTA
13560;PKBM HUSNAN;P9963054;PKBM;Jl. Solo;Timuato;Kec. Telaga Biru;Kab. Gorontalo;Prov. Gorontalo;SWASTA
13561;PKBM CITRA MANDIRI;P9970662;PKBM;Desa Tuladenggi;Tuladenggi;Kec. Telaga Biru;Kab. Gorontalo;Prov. Gorontalo;SWASTA
13562;PKBM INOVASI JAYA;P9952690;PKBM;Desa Bunggalo;Bunggalo;Kec. Telaga Jaya;Kab. Gorontalo;Prov. Gorontalo;SWASTA
13563;PKBM TAMAN CENDEKIA;P9984323;PKBM;DESA BALAHU;Balahu;Kec. Tibawa;Kab. Gorontalo;Prov. Gorontalo;SWASTA
13564;PKBM AL HIDAYAH;P9948143;PKBM;JL. SUAIB HEMU;Datahu;Kec. Tibawa;Kab. Gorontalo;Prov. Gorontalo;SWASTA
13565;PKBM AL HIDAYAH;P9948145;PKBM;JL. SUAIB HEMU;Datahu;Kec. Tibawa;Kab. Gorontalo;Prov. Gorontalo;SWASTA
13566;PKBM TIARA;P9948140;PKBM;Jl. Trans Sulawesi;Isimu Utara;Kec. Tibawa;Kab. Gorontalo;Prov. Gorontalo;SWASTA
13567;PKBM TIARA;P9948454;PKBM;Jl. Trans Sulawesi;Isimu Utara;Kec. Tibawa;Kab. Gorontalo;Prov. Gorontalo;SWASTA
13568;PKBM  ILOHELUMA THB;P9970160;PKBM;Desa Molowahu Kec. Tibawa;Molowahu;Kec. Tibawa;Kab. Gorontalo;Prov. Gorontalo;SWASTA
13569;PKBM AR RAHMAN;P9996825;PKBM;Desa Motilango;Motilango;Kec. Tibawa;Kab. Gorontalo;Prov. Gorontalo;SWASTA
13570;PKBM CEMPAKA;P9948433;PKBM;Jl. Trans Sulawesi;Tolotio;Kec. Tibawa;Kab. Gorontalo;Prov. Gorontalo;SWASTA
13571;PKBM PUTRA MANDIRI;P9998647;PKBM;Tenggela Kec. Tilango Kabupaten Gorontalo;Tenggela;Kec. Tilango;Kab. Gorontalo;Prov. Gorontalo;SWASTA
13572;PKBM HARAPAN INDAH;P2962850;PKBM;LAUWONU;Tualango;Kec. Tilango;Kab. Gorontalo;Prov. Gorontalo;SWASTA
13573;PKBM TRI KARYA;P2962855;PKBM;-;-;Kec. Tolangohula;Kab. Gorontalo;Prov. Gorontalo;SWASTA
13574;PKBM MUARA JAYA;P2962838;PKBM;PG.RAJAWALI;-;Kec. Tolangohula;Kab. Gorontalo;Prov. Gorontalo;SWASTA
13575;PKBM POLOHUNGO;P9959733;PKBM;DESA POLOHUNGO;Polohungo;Kec. Tolangohula;Kab. Gorontalo;Prov. Gorontalo;SWASTA
13576;PKBM Panorama;P2965772;PKBM;Trans Sulawesi;Pasalae;Kec. Gentuma Raya;Kab. Gorontalo Utara;Prov. Gorontalo;SWASTA
13577;PKBM BUDI MULYA;P9948130;PKBM;Jln Trans Sulawesi, Kec. Kwandang;MOLINGKAPOTO SELATAN;Kec. Kwandang;Kab. Gorontalo Utara;Prov. Gorontalo;SWASTA
13578;PKBM Tunas Harapan;P2965770;PKBM;Trans Sulawesi;Bulontio Barat;Kec. Sumalata;Kab. Gorontalo Utara;Prov. Gorontalo;SWASTA
13579;PKBM BINTANG LALOLARA;P2969728;PKBM;JL. MT. HARYONO Lrg. Gembol;-;Kec. Sumalata Timur;Kab. Gorontalo Utara;Prov. Gorontalo;SWASTA
13580;PKBM Manjaya;P2962883;PKBM;Trans Sulawesi;-;Kec. Sumalata Timur;Kab. Gorontalo Utara;Prov. Gorontalo;SWASTA
13581;PKBM Cahaya Ilmu Terampil;P2971031;PKBM;Jalan Puskesmas Lama;Motihelumo;Kec. Sumalata Timur;Kab. Gorontalo Utara;Prov. Gorontalo;SWASTA
13582;PKBM Insan Cipta;P9996999;PKBM;Desa Wubudu;Wubudu;Kec. Sumalata Timur;Kab. Gorontalo Utara;Prov. Gorontalo;SWASTA
13583;PKBM Sinar Harapan;P2961897;PKBM;Trans Sulawesi;-;Kec. Tolinggula;Kab. Gorontalo Utara;Prov. Gorontalo;SWASTA
13584;PKBM Permata Ilmu;P2965783;PKBM;Jln. Trans Sulawesi;Molangga;Kec. Tolinggula;Kab. Gorontalo Utara;Prov. Gorontalo;SWASTA
13585;PKBM Mutiara;P2965773;PKBM;Trns Sulawesi;Tolinggula Tengah;Kec. Tolinggula;Kab. Gorontalo Utara;Prov. Gorontalo;SWASTA
13586;PKBM HELUMO;P2966052;PKBM;Trans Sulawesi;Huidu Melito;Kec. Tomilito;Kab. Gorontalo Utara;Prov. Gorontalo;SWASTA
13587;PKBM ALMAMATER;P2962566;PKBM;Trans Sulawesi;-;Kec. Buntulia;Kab. Pohuwato;Prov. Gorontalo;SWASTA
13588;PKBM NURHIDAYAH;P2962565;PKBM;Tambang;-;Kec. Buntulia;Kab. Pohuwato;Prov. Gorontalo;SWASTA
13589;PKBM NURHIDAYAH;P9984304;PKBM;Jln. Gunung Pani Desa Hulawa;Hulawa;Kec. Buntulia;Kab. Pohuwato;Prov. Gorontalo;SWASTA
13590;PKBM TIRTA KENCANA;P9998436;PKBM;Jl. Siswa Dusun I Desa Popaya;Popaya;Kec. Dengilo;Kab. Pohuwato;Prov. Gorontalo;SWASTA
13591;PKBM TIRTA KENCANA;P9984308;PKBM;Jln. Desa Popaya Kec. Dengilo;Popaya;Kec. Dengilo;Kab. Pohuwato;Prov. Gorontalo;SWASTA
13592;PKBM SALFA GROUP;P2962567;PKBM;Dusun Hiasan II;Buntulia Selatan;Kec. Duhiadaa;Kab. Pohuwato;Prov. Gorontalo;SWASTA
13593;PKBM MUTIARA;P2962561;PKBM;Pelabuhan;Lemito;Kec. Lemito;Kab. Pohuwato;Prov. Gorontalo;SWASTA
13594;PKBM NUSANTARA;P2965663;PKBM;Jln. Dr. Herizal Umar;Botubilotahu Indah;Kec. Marisa;Kab. Pohuwato;Prov. Gorontalo;SWASTA
13595;PKBM HARAPAN KITA;P9934594;PKBM;JLN. TRANS SULAWESI DESA MARISA SELATAN KEC. MARISA KAB POHUWATO;Marisa Selatan;Kec. Marisa;Kab. Pohuwato;Prov. Gorontalo;SWASTA
13596;PKBM PERMATA;P9948182;PKBM;JL TRANS SULAWESI;Maleo;Kec. Paguat;Kab. Pohuwato;Prov. Gorontalo;SWASTA
13597;PKBM PRIMA;P9984494;PKBM;Lingkungan Teladan Kelurahan Pentadu;Pentadu;Kec. Paguat;Kab. Pohuwato;Prov. Gorontalo;SWASTA
13598;PKBM Pengayoman;P9970135;PKBM;Dusun Karya Baru;Balayo;Kec. Patilanggio;Kab. Pohuwato;Prov. Gorontalo;SWASTA
13599;PKBM BERDIKARI;P9948201;PKBM;JL TRANS BAWAH;DULOMO;Kec. Patilanggio;Kab. Pohuwato;Prov. Gorontalo;SWASTA
13600;PKBM FITA STAR;P9952428;PKBM;JL TRANS SULAWESI;Bukit Tingki;Kec. Popayato;Kab. Pohuwato;Prov. Gorontalo;SWASTA
13601;PKBM TUNAS JAYA;P9952431;PKBM;JL BAMBU;Padengo;Kec. Popayato Barat;Kab. Pohuwato;Prov. Gorontalo;SWASTA
13602;pkbm pelangi kasih;P2962556;PKBM;Jln. Mootinelo;Tahele;Kec. Popayato Timur;Kab. Pohuwato;Prov. Gorontalo;SWASTA
13603;PKBM  MENTARI;P2962568;PKBM;Jln. Trans Sulawesi;Ayula;Kec. Randangan;Kab. Pohuwato;Prov. Gorontalo;SWASTA
13604;PKBM Permai;P2962564;PKBM;Trans Taluditi;TIRTO ASRI;Kec. Taluditi;Kab. Pohuwato;Prov. Gorontalo;SWASTA
13605;PKBM Kasiba;P2966867;PKBM;-;-;Kec. Dumbo Raya;Kota Gorontalo;Prov. Gorontalo;SWASTA
13606;PKBM DUMBO STAR;P9997034;PKBM;Jl. Lotu;Talumolo;Kec. Dumbo Raya;Kota Gorontalo;Prov. Gorontalo;SWASTA
13607;PKBM SORGA;P9980101;PKBM;Jl. Mangga No. 17;Huangobotu;Kec. Dungingi;Kota Gorontalo;Prov. Gorontalo;SWASTA
13608;PKBM MOZAIK CHILD CONSULTANT;P2970862;PKBM;Jl. Durian No. 121;Tomulabutao Selatan;Kec. Dungingi;Kota Gorontalo;Prov. Gorontalo;SWASTA
13609;PKBM Pengayoman;P2966863;PKBM;Brigjen Katamso;Donggala;Kec. Hulontalangi;Kota Gorontalo;Prov. Gorontalo;SWASTA
13610;PKBM Potanga Raya;P2966861;PKBM;-;-;Kec. Kota Barat;Kota Gorontalo;Prov. Gorontalo;SWASTA
13611;PKBM FAZRIYAH GORONTALO;P9999079;PKBM;Jl. Raja Eyato;Dembe I;Kec. Kota Barat;Kota Gorontalo;Prov. Gorontalo;SWASTA
13612;PKBM Cipta Karya;P2966860;PKBM;Jln. Usman Isa;Lekobalo;Kec. Kota Barat;Kota Gorontalo;Prov. Gorontalo;SWASTA
13613;PKBM Bukit Tenilo;P2966864;PKBM;Kancil;Tenilo;Kec. Kota Barat;Kota Gorontalo;Prov. Gorontalo;SWASTA
13614;PKBM GORONTALO INSTITUTE;P9996980;PKBM;Jl. Diponegoro No. 86;Limba B;Kec. Kota Selatan;Kota Gorontalo;Prov. Gorontalo;SWASTA
13615;PKBM KARYA INSAN BERDAYA;P9999059;PKBM;JL. JAMALUDIN MALIK NO. 15;Limba U Satu;Kec. Kota Selatan;Kota Gorontalo;Prov. Gorontalo;SWASTA
13616;PKBM Flamboyan;P2966862;PKBM;Bali Perum Tirta Kencana;Wumialo;Kec. Kota Tengah;Kota Gorontalo;Prov. Gorontalo;SWASTA
13617;PKBM Flamboyan Merah;P2966870;PKBM;-;-;Kec. Kota Timur;Kota Gorontalo;Prov. Gorontalo;SWASTA
13618;PKBM UJI Prov. Gorontalo;PROV3001;PKBM;Matolodula;-;Kec. Kota Timur;Kota Gorontalo;Prov. Gorontalo;SWASTA
13619;PKBM Tunas Bangsa;P2966866;PKBM;Taman Sari;-;Kec. Kota Timur;Kota Gorontalo;Prov. Gorontalo;SWASTA
13620;PKBM Az-Zikra;P2966859;PKBM;Jl. Matolodula;Padebuolo;Kec. Kota Timur;Kota Gorontalo;Prov. Gorontalo;SWASTA
13621;PKBM Lestari;P2966865;PKBM;-;-;Kec. Kota Utara;Kota Gorontalo;Prov. Gorontalo;SWASTA
13622;PKBM ASMAUL HUSNA;P9984899;PKBM;Jln. Rusli Datau;Dulomo Selatan;Kec. Kota Utara;Kota Gorontalo;Prov. Gorontalo;SWASTA
13623;PKBM SWEET MEDIA;P9984503;PKBM;Jln. Brigjen. Piola Isa;WONGKADITI TIMUR;Kec. Kota Utara;Kota Gorontalo;Prov. Gorontalo;SWASTA
13624;PKBM INSAN SEJAHTERA;P9997420;PKBM;Jl. Prof. DR. ALOEI SABOE;WONGKADITI TIMUR;Kec. Kota Utara;Kota Gorontalo;Prov. Gorontalo;SWASTA
13625;PKBM Putra Mandiri;P2966869;PKBM;-;-;Kec. Sipatana;Kota Gorontalo;Prov. Gorontalo;SWASTA
13626;PKBM Bina Karier;P2966871;PKBM;-;-;Kec. Sipatana;Kota Gorontalo;Prov. Gorontalo;SWASTA
13627;PKBM Taman Pendidikan;P2966868;PKBM;Jl. Padang;TAPA;Kec. Sipatana;Kota Gorontalo;Prov. Gorontalo;SWASTA
13628;PPS. AZHARUL KHAIRAT GORONTALO;70027134;Pondok Pesantren;JL. ALWI ABDUL JALIL HABIBIE;Padengo;Kec. Kabila;Kab. Bone Bolango;Prov. Gorontalo;SWASTA
13629;PPS SALAFIYAH SYAFI`IYAH;69930197;Pondok Pesantren;Jl. Trans Marisa III;-;Kec. Randangan;Kab. Pohuwato;Prov. Gorontalo;SWASTA
13630;PPS Salafiyah  Syafi iyah;69951923;Pondok Pesantren;JL. TRANS  SULAWESI  DESA BANUROJA;Banuroja;Kec. Randangan;Kab. Pohuwato;Prov. Gorontalo;SWASTA
13631;SKB KABUPATEN BOALEMO;P9954369;SKB;JL. KIHAJAR DEWANTARA;Mohungo;Kec. Tilamuta;Kab. Boalemo;Prov. Gorontalo;NEGERI
13632;SPNF SKB Bone Bolango;P2965081;SKB;Jln. Abdullah Amu No.35;Kramat;Kec. Tapa;Kab. Bone Bolango;Prov. Gorontalo;NEGERI
13633;SPNF SKB BATUDAA;P9948431;SKB;Jl. Raja Bobihoe;Payunga;Kec. Batudaa;Kab. Gorontalo;Prov. Gorontalo;NEGERI
13634;SPNF SKB BILUHU;P9997430;SKB;Jln Buke Panai;Biluhu Tengah;Kec. Biluhu;Kab. Gorontalo;Prov. Gorontalo;NEGERI
13635;SPNF SKB LIMBOTO;P9948430;SKB;Jl. Samaun Pulubuhu;Hunggaluwa;Kec. Limboto;Kab. Gorontalo;Prov. Gorontalo;NEGERI
13636;SPNF SKB PULUBALA;P9997431;SKB;Jln. Trans Desa Bakti;Bakti;Kec. Pulubala;Kab. Gorontalo;Prov. Gorontalo;NEGERI
13637;SPNF SKB TELAGA;P9999069;SKB;SPNF SKB TELAGA;Bulila;Kec. Telaga;Kab. Gorontalo;Prov. Gorontalo;NEGERI
13638;SPNF SKB TOLANGOHULA;P9948456;SKB;Jl. Raja Tolangohula;Gandasari;Kec. Tolangohula;Kab. Gorontalo;Prov. Gorontalo;NEGERI
13639;SKB ATINGGOLA;P9959851;SKB;Desa Kotajin Kec. Atinggola Kab. Gorontalo Utara;Kota Jin;Kec. Atinggola;Kab. Gorontalo Utara;Prov. Gorontalo;NEGERI
13640;SKB KWANDANG;P9959850;SKB;Desa Mootinelo Kec. Kwandang;Mootinelo;Kec. Kwandang;Kab. Gorontalo Utara;Prov. Gorontalo;NEGERI
13641;SKB POHUWATO;P9956936;SKB;Jln. Minapolitan Dusun Karya Desa Bulili Kec. Duhiadaa Kab. Pohuwato;Bulili;Kec. Duhiadaa;Kab. Pohuwato;Prov. Gorontalo;NEGERI
13642;SKB KOTA GORONTALO;P9948535;SKB;Jl. Prof. Dr. John Ario Katili;TAPA;Kec. Sipatana;Kota Gorontalo;Prov. Gorontalo;NEGERI
13643;SLBN PAGUYAMAN;40501683;SLB;TANGKOBU;DESA TANGKOBU;Kec. Paguyaman;Kab. Boalemo;Prov. Gorontalo;NEGERI
13644;SLB NEGERI PAGUYAMAN;40501683;SLB;Jln. TRANS SULAWESI;Tangkobu;Kec. Paguyaman;Kab. Boalemo;Prov. Gorontalo;NEGERI
13645;SMPLB PAGUYAMAN;40501683;SLB;Jln. TRANS SULAWESI;TANGKOBU;Kec. Paguyaman;Kab. Boalemo;Prov. Gorontalo;NEGERI
13646;SMALBN BOALEMO;40502757;SLB;JL. RASJID P. MUSA;-;Kec. Tilamuta;Kab. Boalemo;Prov. Gorontalo;NEGERI
13647;SLB NEGERI KABUPATEN BOALEMO;40500238;SLB;Jln. Rasjid P Musa Desa Hungayonaa Kecamatan Tilamuta Kabupaten Boalemo;Hungayonaa;Kec. Tilamuta;Kab. Boalemo;Prov. Gorontalo;NEGERI
13648;SMPLB TILAMUTA;40502207;SLB;Desa Hungayonaa;tidak diisi;Kec. Tilamuta;Kab. Boalemo;Prov. Gorontalo;NEGERI
13649;SLB NEGERI BONEPANTAI;40502733;SLB;Jln Trans Sulawesi;Batu Hijau;Kec. Bonepantai;Kab. Bone Bolango;Prov. Gorontalo;NEGERI
13650;SDLBN BONEPANTAI;40502735;SLB;JLN. TRANS SULAWESI, DESA BATU HIJAU;DESA BATU HIJAU;Kec. Bonepantai;Kab. Bone Bolango;Prov. Gorontalo;NEGERI
13651;SLB NEGERI BONE BOLANGO;40500991;SLB;Jln Pasar Rabu;Boludawa;Kec. Suwawa;Kab. Bone Bolango;Prov. Gorontalo;NEGERI
13652;SLBN BONE BOLANGO;40500991;SLB;DESA BOLUDAWA;DESA BOLUDAWA;Kec. Suwawa;Kab. Bone Bolango;Prov. Gorontalo;NEGERI
13653;SDLBN KAB GTLO;40500679;SLB;LIMBOTO BARAT;LIMBOTO BARAT;Kec. Limboto Barat;Kab. Gorontalo;Prov. Gorontalo;NEGERI
13654;SENTRA PK-LK SLB NEGERI KABUPATEN GORONTALO;40500679;SLB;Jalan Muchtar Pulukadang No 152;Yoosonegoro;Kec. Limboto Barat;Kab. Gorontalo;Prov. Gorontalo;NEGERI
13655;SMPLB Negeri Kabupaten Gorontalo;40502414;SLB;Jln. Mochtar Pulukadang No. 152;Yosonegoro;Kec. Limboto Barat;Kab. Gorontalo;Prov. Gorontalo;NEGERI
13656;SLB Negeri Kabupaten Gorontalo;58570022;SLB;Jln. Muchtar Pulukadang No. 152;Yosonegoro;Kec. Limboto Barat;Kab. Gorontalo;Prov. Gorontalo;NEGERI
13657;SLB NEGERI GORONTALO UTARA;40501883;SLB;Jl. Martin Liputo;ALATA KARYA;Kec. Kwandang;Kab. Gorontalo Utara;Prov. Gorontalo;NEGERI
13658;SMPLB KWANDANG;40501884;SLB;Jln. Trans Sulawesi;ALATA KARYA;Kec. Kwandang;Kab. Gorontalo Utara;Prov. Gorontalo;NEGERI
13659;SMALBN KWANDANG;40501885;SLB;JL. TRANS SULAWESI;DESA LEBOTO;Kec. Kwandang;Kab. Gorontalo Utara;Prov. Gorontalo;NEGERI
13660;SDLBN KWANDANG;40501883;SLB;LEBOTO;DESA LEBOTO;Kec. Kwandang;Kab. Gorontalo Utara;Prov. Gorontalo;NEGERI
13661;SDN LB KAB POHUWATO;40501629;SLB;DESA TERATAI;DESA TERATAI;Kec. Marisa;Kab. Pohuwato;Prov. Gorontalo;NEGERI
13662;SMPLBN;40501908;SLB;DESA TERATAI;DS. TERATAI;Kec. Marisa;Kab. Pohuwato;Prov. Gorontalo;NEGERI
13663;SLB NEGERI POHUWATO;40501629;SLB;Jl.SMK;Teratai;Kec. Marisa;Kab. Pohuwato;Prov. Gorontalo;NEGERI
13664;SLB NEGERI POHUWATO;55720070;SLB;jl.SMK;Teratai;Kec. Marisa;Kab. Pohuwato;Prov. Gorontalo;NEGERI
13665;SMPLB NEGERI POHUWATO;40501908;SLB;Desa Teratai;tidak diisi;Kec. Marisa;Kab. Pohuwato;Prov. Gorontalo;NEGERI
13666;SMALB KOTA GORONTALO;40503106;SLB;JL. BERINGIN KOTA GORONTALO;-;Kec. Dungingi;Kota Gorontalo;Prov. Gorontalo;NEGERI
13667;SLB NEGERI KOTA GORONTALO;58570014;SLB;Jl Beringin;Tuladenggi;Kec. Dungingi;Kota Gorontalo;Prov. Gorontalo;NEGERI
13668;SLB KOTA GORONTALO;40501334;SLB;KE. KOTA B ARAT;WUMIALO;Kec. Kota Barat;Kota Gorontalo;Prov. Gorontalo;NEGERI
13669;SMP NEGERI 6 SATU ATAP BOTUMOITO;40502676;SMP;Jln. Trans Sulawesi Dusun II Pasir Putih;Bolihutuo;Kec. Botumoito;Kab. Boalemo;Prov. Gorontalo;NEGERI
13670;SMP NEGERI 3 BOTUMOITO;40502212;SMP;Jl. Mebongo;Botumoito;Kec. Botumoito;Kab. Boalemo;Prov. Gorontalo;NEGERI
13671;SMP NEGERI 4 SATU ATAP BOTUMOITO;40501921;SMP;Jl. Kolonisasi;Hutamonu;Kec. Botumoito;Kab. Boalemo;Prov. Gorontalo;NEGERI
13672;SMP NEGERI 5 SATU ATAP BOTUMOITO;40501922;SMP;Jln. Dusun I Sapa Desa Rumbia;Rumbia;Kec. Botumoito;Kab. Boalemo;Prov. Gorontalo;NEGERI
13673;SMP NEGERI 2 BOTUMOITO;40500157;SMP;Jln.Bontula No.01;Tapadaa;Kec. Botumoito;Kab. Boalemo;Prov. Gorontalo;NEGERI
13674;Sekolah Rakyat Menengah Pertama Terintegrasi 71 Boalemo;70058871;SMP;Gedung Diklat Tutulo Desa Tutulo, Kec. Botumoito, Kab. Boalemo, Gorontalo,96264;Tutulo;Kec. Botumoito;Kab. Boalemo;Prov. Gorontalo;NEGERI
13675;SMP NEGERI 1 BOTUMOITO;40500150;SMP;Jl. Trans Sulawesi;Tutulo;Kec. Botumoito;Kab. Boalemo;Prov. Gorontalo;NEGERI
13676;SMPN SATAP 5 DULUPI;40501703;SMP;TANGGA BARITO;DESA TANGGA BARITO;Kec. Dulupi;Kab. Boalemo;Prov. Gorontalo;NEGERI
13677;SMPN 09 DULUPI;69754632;SMP;JLN. DULUPI;DS. TABONGO;Kec. Dulupi;Kab. Boalemo;Prov. Gorontalo;NEGERI
13678;SMP NEGERI 6 SATU ATAP DULUPI;40501705;SMP;Jalan Kalimas, Dusun III Sambati;Dulupi;Kec. Dulupi;Kab. Boalemo;Prov. Gorontalo;NEGERI
13679;SMP NEGERI 1 DULUPI;40500151;SMP;Jl. Teratai No. 155 Dusun  Teratai;Dulupi;Kec. Dulupi;Kab. Boalemo;Prov. Gorontalo;NEGERI
13680;SMP NEGERI 3 SATU ATAP DULUPI;40501664;SMP;Jl. Siswa, Dusun II Hiyalokikio;Kotaraja;Kec. Dulupi;Kab. Boalemo;Prov. Gorontalo;NEGERI
13681;SMP NEGERI 8 SATU ATAP DULUPI;40502743;SMP;Jl. Pongawaa, Dusun III Pancuran;Polohungo;Kec. Dulupi;Kab. Boalemo;Prov. Gorontalo;NEGERI
13682;SMP NEGERI 9 SATU ATAP DULUPI;69754632;SMP;Dusun V Langge;Tabongo;Kec. Dulupi;Kab. Boalemo;Prov. Gorontalo;NEGERI
13683;SMP NEGERI 2 DULUPI;40500158;SMP;Jl. Trans Sulawesi Dusun II Poheita;Tanah Putih;Kec. Dulupi;Kab. Boalemo;Prov. Gorontalo;NEGERI
13684;SMP NEGERI 5 SATU ATAP DULUPI;40501703;SMP;Jln. Barito KM 43;Tangga Barito;Kec. Dulupi;Kab. Boalemo;Prov. Gorontalo;NEGERI
13685;SMP NEGERI 7 SATU ATAP DULUPI;40502196;SMP;Jl. Barito Km. 20, Dusun Bubotulo;Tangga Barito;Kec. Dulupi;Kab. Boalemo;Prov. Gorontalo;NEGERI
13686;SMP NEGERI 4 SATU ATAP DULUPI;40501668;SMP;Jl. Tangga Barito, Dusun I Hulao;Tangga Jaya;Kec. Dulupi;Kab. Boalemo;Prov. Gorontalo;NEGERI
13687;SMP NEGERI 3 SATU ATAP MANANGGU;40501665;SMP;Jln Irigasi, Dusun Botuliyodu;Bendungan;Kec. Mananggu;Kab. Boalemo;Prov. Gorontalo;NEGERI
13688;SMPN TERBUKA MANANGGU;40501826;SMP;TABULO;DESA TABULO;Kec. Mananggu;Kab. Boalemo;Prov. Gorontalo;NEGERI
13689;SMP NEGERI 4 SATU ATAP MANANGGU;69989072;SMP;Jl. AKSES ETALASE;Keramat;Kec. Mananggu;Kab. Boalemo;Prov. Gorontalo;NEGERI
13690;SMP NEGERI 1 MANANGGU;40500152;SMP;Jl. Trans Sulawesi No. 85;Mananggu;Kec. Mananggu;Kab. Boalemo;Prov. Gorontalo;NEGERI
13691;SMP NEGERI 2 MANANGGU;40500159;SMP;Jl. Dusun Palato Utara;Salilama;Kec. Mananggu;Kab. Boalemo;Prov. Gorontalo;NEGERI
13692;SMP NEGERI 7 SATU ATAP PAGUYAMAN;40501834;SMP;Jalan Limbatihu Dusun Sakulati;Balate Jaya;Kec. Paguyaman;Kab. Boalemo;Prov. Gorontalo;NEGERI
13693;SMP NEGERI 11 SATU ATAP PAGUYAMAN;69755443;SMP;JLN. TRANS WONOSARI;Batu Kramat;Kec. Paguyaman;Kab. Boalemo;Prov. Gorontalo;NEGERI
13694;SMP NEGERI 4 SATU ATAP PAGUYAMAN;40501669;SMP;Dusun Puncak Sari;BONGO IV;Kec. Paguyaman;Kab. Boalemo;Prov. Gorontalo;NEGERI
13695;SMP NEGERI 2 PAGUYAMAN;40500160;SMP;Jl. Trans Sulawesi Dusun Siliwangi Barat;BONGO NOL;Kec. Paguyaman;Kab. Boalemo;Prov. Gorontalo;NEGERI
13696;SMP NEGERI 8 SATU ATAP PAGUYAMAN;40501707;SMP;Dusun Pikolo;Bongo Tua;Kec. Paguyaman;Kab. Boalemo;Prov. Gorontalo;NEGERI
13697;SMP NEGERI 10 SATU ATAP PAGUYAMAN;40501877;SMP;Dusun Beringin Jaya Sakti;Bualo;Kec. Paguyaman;Kab. Boalemo;Prov. Gorontalo;NEGERI
13698;SMPN SATAP 9 PAGUYAMAN;40501707;SMP;GIRISA;DESA BONGO TUA;Kec. Paguyaman;Kab. Boalemo;Prov. Gorontalo;NEGERI
13699;SMPN 7 PAGUYAMAN;40501834;SMP;BONGO TUA;DESA SOSIAL;Kec. Paguyaman;Kab. Boalemo;Prov. Gorontalo;NEGERI
13700;SMPN 11 PAGUYAMAN;69755443;SMP;JLN. TRAN SULAWESI;DS. TANGKOBU;Kec. Paguyaman;Kab. Boalemo;Prov. Gorontalo;NEGERI
13701;SMP NEGERI 9 SATU ATAP PAGUYAMAN;40501699;SMP;Jln. Tanjung Kramat;Girisa;Kec. Paguyaman;Kab. Boalemo;Prov. Gorontalo;NEGERI
13702;SMP NEGERI 5 PAGUYAMAN;40501679;SMP;Jln. Trans Sulawesi, Dusun Labiya;Hulawa;Kec. Paguyaman;Kab. Boalemo;Prov. Gorontalo;NEGERI
13703;SMP NEGERI 6 SATU ATAP PAGUYAMAN;40501673;SMP;Jl. Lorong Karya Murni Dusun Pangimba;Karya Murni;Kec. Paguyaman;Kab. Boalemo;Prov. Gorontalo;NEGERI
13704;SMP SALAFIYAH BP;69972180;SMP;Jln. Bongo Tua, Dusun Bulumbu Timur;Mustika;Kec. Paguyaman;Kab. Boalemo;Prov. Gorontalo;SWASTA
